AID	RRELNO	H3TR1	H3TR2	H3TR3	H3TR4	H3TR5	PAGE	H3TR6	H3TR7	H3TR8	H3TR9	H3TR10	H3TR11	H3TR12	H3TR13	H3TR14	SXORDER	CP
57100270	1	1	1	1	1	13	37	3	0	1	1	1	1	1	0	0	1	1
57101310	1	1	1	1	1	1	26	4	0	1	1	2	1	1	0	1	1	1
57103869	1	1	1	2	3	97	26	3	0	1	0	97	0	0	0	0	1	 
57104676	1	1	1	2	1	5	23	3	0	1	0	97	0	0	0	0	1	1
57111071	1	0	1	2	3	97	20	4	0	1	0	97	0	0	0	1	3	 
57111071	2	0	0	2	3	97	20	4	0	1	0	97	0	0	0	0	2	 
57111071	3	0	0	2	3	97	20	4	0	1	0	97	0	0	0	0	1	 
57113943	1	1	1	2	3	97	23	3	0	1	0	97	0	0	0	0	1	1
57117542	1	0	1	2	2	1	21	4	0	1	0	97	0	0	0	1	11	 
57117542	2	0	0	2	2	1	21	4	0	1	0	97	0	0	0	1	10	 
57117542	3	8	0	2	1	6	28	4	0	1	0	97	0	0	0	0	9	 
57117542	4	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	5	0	0	2	3	97	22	4	8	1	0	97	0	0	0	0	8	 
57117542	6	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	7	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	8	0	0	2	1	7	29	4	0	0	0	97	0	0	0	0	 	 
57117542	9	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	10	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	11	0	0	2	3	97	22	4	0	1	0	97	0	0	0	0	7	 
57117542	12	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	13	0	0	2	3	97	22	4	0	1	0	97	0	0	0	0	6	 
57117542	14	0	0	2	3	97	22	4	0	1	0	97	0	0	0	1	5	 
57117542	15	0	0	2	3	97	22	4	0	1	0	97	0	0	0	0	4	 
57117542	16	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117542	17	0	0	2	3	97	22	4	0	1	0	97	0	0	0	0	3	 
57117542	18	1	1	2	2	1	21	4	0	1	1	1	1	0	0	0	1	 
57117542	19	0	1	2	3	97	22	4	0	1	0	97	0	0	0	0	2	 
57117542	20	0	0	2	3	97	22	4	0	0	0	97	0	0	0	0	 	 
57117997	1	1	1	1	1	2	21	3	0	1	0	97	0	0	0	0	1	1
57118381	1	0	0	1	3	97	19	3	0	1	0	97	0	0	0	1	5	 
57118381	2	0	0	1	1	1	20	3	0	1	0	97	0	0	0	1	4	 
57118381	3	0	1	1	1	1	20	4	0	1	0	97	0	0	0	0	3	 
57118381	4	0	1	1	3	97	19	4	0	1	0	97	0	0	0	0	2	 
57118381	5	1	1	1	1	1	20	4	0	1	1	1	1	1	0	0	1	1
57118943	1	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	2	 
57118943	2	1	1	1	2	1	21	4	0	1	0	97	1	0	0	1	1	 
57120005	1	0	0	2	1	1	20	4	0	0	0	97	0	0	0	1	 	 
57120005	2	0	0	2	3	97	19	4	0	0	0	97	0	0	0	1	 	 
57120005	3	0	0	2	1	4	23	4	8	0	0	97	0	0	0	0	 	 
57120005	4	0	1	2	1	1	20	4	0	1	1	1	0	0	0	1	4	 
57120005	5	0	0	2	3	97	19	4	0	1	0	97	0	0	0	1	3	 
57120005	6	0	0	2	1	4	23	4	0	1	0	97	0	0	0	0	2	 
57120005	7	0	0	2	3	97	19	4	0	0	0	97	0	0	0	1	 	 
57120005	8	0	1	2	3	97	19	4	0	1	0	97	0	0	0	1	1	 
57120005	9	0	0	2	2	1	18	4	0	0	0	97	0	0	0	1	 	 
57120005	10	1	0	2	3	97	19	4	0	0	0	97	0	0	0	0	 	 
57120046	1	1	1	2	1	9	34	5	1	1	1	1	1	1	0	0	1	1
57120371	1	1	1	1	3	97	25	4	0	1	1	2	1	1	0	1	1	1
57121404	1	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	5	 
57121404	2	0	0	1	1	2	24	4	0	1	0	97	0	0	0	0	4	 
57121404	3	0	1	1	1	1	23	4	1	1	0	97	0	0	0	0	3	 
57121404	4	0	0	1	1	2	24	4	0	1	0	97	0	0	0	0	2	 
57121404	5	1	1	1	2	2	20	4	0	1	0	97	0	0	0	0	1	1
57127241	1	0	1	1	3	97	19	2	0	1	0	97	0	0	0	0	1	 
57129567	1	0	1	2	3	97	21	3	0	1	0	97	0	0	0	1	3	 
57129567	2	0	1	2	2	1	20	3	0	1	0	97	0	0	0	0	4	 
57129567	3	1	1	2	2	1	20	3	0	1	0	97	0	0	0	1	2	 
57129567	4	0	1	2	3	97	21	3	0	0	0	97	0	0	0	0	 	 
57129567	5	1	1	2	2	2	19	3	0	1	0	97	0	0	0	0	1	 
57131432	1	0	1	2	1	1	24	5	1	1	0	97	0	0	0	0	2	 
57131432	2	0	1	2	2	2	21	5	1	1	0	97	0	0	0	0	1	 
57131909	1	0	0	2	1	2	22	4	0	1	0	97	0	0	0	0	3	 
57131909	2	1	1	2	2	2	18	4	0	1	0	97	0	0	0	0	2	 
57131909	3	0	0	2	2	1	19	4	0	1	0	97	0	0	0	0	1	 
57131909	4	0	0	2	2	1	19	4	0	1	0	97	0	0	0	1	4	 
57133772	1	0	1	1	3	97	19	4	0	0	0	97	0	0	0	1	 	 
57133772	2	0	0	1	1	2	21	4	0	0	0	97	0	0	0	1	 	 
57133772	3	0	0	1	3	97	19	4	0	0	0	97	0	0	0	0	 	 
57133772	4	1	1	1	3	97	19	4	0	1	0	97	0	0	0	1	1	 
57134967	1	1	1	1	1	1	21	3	0	1	0	97	0	0	0	0	1	1
57134970	1	1	1	1	1	2	23	3	0	1	1	2	1	1	0	1	1	 
57134970	2	0	1	1	1	1	22	3	0	1	0	97	0	0	0	0	2	 
57135078	1	1	1	1	1	4	25	4	0	1	1	3	1	0	0	0	9	 
57135078	2	0	0	1	1	4	25	4	0	1	0	97	0	0	0	0	6	 
57135078	3	0	1	1	1	5	26	4	0	1	0	97	0	0	0	0	5	 
57135078	4	0	1	1	1	4	25	4	0	1	1	1	2	0	0	0	4	 
57135078	5	1	1	1	1	4	25	4	0	1	1	1	1	0	0	0	1	 
57135078	6	0	0	1	1	2	23	4	0	1	0	97	0	0	0	0	7	 
57135078	7	0	0	1	1	6	27	4	0	1	1	1	0	0	0	0	2	 
57135078	8	0	0	1	1	5	26	4	0	1	0	97	0	0	0	0	3	 
57135078	9	0	0	1	2	1	20	4	0	1	0	97	0	0	0	0	8	 
57136630	1	0	1	1	3	97	21	4	1	0	0	97	0	0	0	1	 	 
57136630	2	0	1	1	3	97	21	2	0	0	0	97	0	0	0	1	 	 
57136630	3	0	1	1	1	1	22	2	1	1	0	97	0	0	0	0	5	 
57136630	4	0	1	1	3	97	21	2	0	1	0	97	0	0	0	1	4	 
57136630	5	0	0	1	1	8	29	2	0	1	0	97	0	0	0	0	3	 
57136630	6	0	1	1	1	5	26	3	0	1	0	97	0	0	0	0	2	 
57136630	7	1	1	1	2	1	20	3	0	1	1	1	2	0	0	0	1	1
57138056	1	0	1	2	3	97	20	4	0	1	0	97	0	0	0	0	1	 
57138056	2	0	0	2	2	1	19	4	0	1	0	97	0	0	0	0	2	 
57138056	3	0	0	2	2	1	19	4	0	1	0	97	0	0	0	0	3	 
57138056	4	0	1	2	2	1	19	4	0	1	0	97	0	0	0	0	4	 
57138056	5	0	1	2	2	3	17	4	0	1	0	97	0	0	0	0	5	 
57139880	1	0	1	2	1	1	21	4	0	1	0	97	0	0	0	1	2	 
57139880	2	0	0	2	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57139880	3	0	1	2	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57139880	4	1	1	2	3	97	20	4	0	1	0	97	0	0	0	0	1	 
57139880	5	0	0	2	3	97	20	4	1	0	0	97	0	0	0	1	 	 
57139880	6	0	0	2	3	97	20	4	0	0	0	97	0	0	0	0	 	 
57139880	7	0	0	2	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57141051	1	1	1	2	2	1	20	4	0	1	0	97	1	1	0	0	1	 
57141800	1	0	0	1	1	1	20	3	1	1	0	97	0	0	0	0	1	 
57141800	2	0	0	1	1	3	22	1	1	1	0	97	0	0	0	0	2	 
57141800	3	1	0	1	1	3	22	1	1	1	0	97	0	0	0	0	3	 
57145151	1	1	1	1	3	97	21	4	0	1	0	97	0	0	0	0	1	1
57146734	1	0	1	2	1	1	20	4	0	1	0	97	0	0	0	1	1	 
57146734	2	0	0	2	2	1	18	2	0	1	0	97	0	0	0	1	2	 
57146734	3	0	1	2	1	3	22	4	1	0	0	97	0	0	0	0	 	 
57146734	4	1	1	2	1	1	20	4	1	0	0	97	0	0	0	1	 	1
57153160	1	0	1	2	2	2	22	5	1	1	0	97	2	0	0	1	1	 
57154249	1	0	0	1	1	3	28	4	0	1	0	97	2	0	0	0	2	 
57154249	2	1	1	1	1	2	27	4	0	1	1	4	1	1	0	1	1	1
57154779	1	1	1	1	3	97	19	3	1	1	1	3	1	0	0	0	1	 
57157723	1	1	1	2	2	2	19	4	0	1	1	1	1	1	0	0	1	 
57159952	1	0	1	1	1	3	25	4	0	1	0	97	0	0	0	0	2	 
57159952	2	1	1	1	1	2	24	4	0	1	0	97	0	0	0	0	1	 
57160648	1	0	1	2	1	3	26	4	0	1	0	97	2	0	0	0	4	 
57160648	2	0	1	2	3	97	23	4	0	1	0	97	2	0	0	0	2	 
57160648	3	1	1	2	1	4	27	4	0	1	0	97	1	0	0	0	1	 
57160648	4	0	1	2	2	2	21	4	0	1	1	1	0	0	0	0	3	 
57164981	1	1	1	2	2	1	19	2	1	1	1	1	1	0	0	0	1	 
57165081	1	0	1	2	2	1	20	5	0	0	1	2	0	2	0	1	 	 
57165081	2	1	1	2	2	2	19	5	0	1	0	97	1	0	0	0	1	1
57166463	1	0	1	2	1	2	21	3	0	1	0	97	0	0	0	1	5	 
57166463	2	0	1	2	3	97	19	3	0	1	0	97	0	0	0	1	4	 
57166463	3	1	1	2	1	16	35	3	0	1	0	97	0	0	0	0	1	 
57166463	4	0	0	2	2	2	17	3	1	1	0	97	0	0	0	0	2	 
57166463	5	0	0	2	1	2	21	3	0	1	0	97	0	0	0	0	3	 
57167951	1	0	1	2	2	1	19	4	0	0	0	97	0	0	0	0	 	 
57177419	1	0	1	2	3	97	21	4	0	0	0	97	0	0	0	0	 	 
57177419	2	1	1	2	1	5	26	4	0	0	0	97	0	0	0	0	 	 
57177942	1	0	1	2	2	1	22	4	0	1	0	97	2	0	0	0	2	 
57177942	2	0	1	2	2	2	21	4	0	1	0	97	2	0	0	0	1	 
57178110	1	1	1	2	2	1	19	4	0	1	1	1	1	0	0	0	1	 
57178982	1	0	0	2	2	1	20	5	1	0	0	97	0	9	0	0	 	 
57179591	1	1	1	1	1	2	22	4	0	1	0	97	1	1	0	0	1	 
57186150	1	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	5	 
57186150	2	0	0	1	3	97	22	4	0	1	0	97	0	0	0	0	4	 
57186150	3	0	1	1	1	1	23	4	0	1	0	97	0	0	0	1	2	 
57186150	4	0	0	1	2	1	21	4	0	1	0	97	0	0	0	0	3	 
57186150	5	1	1	1	1	2	24	4	0	1	0	97	1	0	0	0	1	 
57191424	1	1	0	2	2	1	19	4	0	1	0	97	0	0	0	0	1	 
57191909	1	1	1	1	3	97	24	4	0	1	1	3	1	1	0	1	1	3
57191909	2	0	1	1	1	2	26	4	0	1	1	1	0	0	0	0	2	 
57192841	1	0	1	1	3	97	21	4	0	0	0	97	0	0	0	1	 	 
57192841	2	0	1	1	3	97	21	4	0	1	0	97	0	0	0	1	2	 
57192841	3	1	1	1	1	4	25	4	0	1	0	97	0	0	0	0	1	 
57192841	4	0	1	1	3	97	21	4	0	0	0	97	0	0	0	1	 	 
57196641	1	0	1	2	1	1	24	1	0	1	0	97	0	0	0	1	12	 
57196641	2	0	0	2	2	2	21	4	0	1	0	97	0	0	0	0	11	 
57196641	3	0	0	2	2	1	22	5	1	1	0	97	0	0	0	1	3	 
57196641	4	0	1	2	2	1	22	4	0	1	0	97	0	0	0	0	10	 
57196641	5	1	1	2	2	2	21	5	1	1	0	97	0	0	0	0	1	 
57196641	6	0	1	2	2	1	22	5	1	1	0	97	0	0	0	0	4	 
57196641	7	0	1	2	2	3	20	4	0	1	0	97	2	0	0	0	2	 
57196641	8	0	0	2	1	2	25	5	1	1	0	97	0	0	0	0	8	 
57196641	9	0	0	2	2	2	21	4	0	1	0	97	0	0	0	0	7	 
57196641	10	0	0	2	2	3	20	4	0	1	0	97	0	0	0	0	9	 
57196641	11	0	1	2	2	1	22	4	0	1	0	97	0	0	0	0	5	 
57196641	12	0	1	2	1	9	32	4	0	1	0	97	0	0	0	0	6	 
57199320	1	1	1	2	2	2	20	3	0	1	1	1	0	0	0	0	1	1
57199320	2	0	1	2	2	1	21	3	0	1	0	97	0	0	0	0	3	 
57199320	3	0	0	2	1	3	25	4	0	1	0	97	0	0	0	0	4	 
57199320	4	0	0	2	2	2	20	3	0	1	0	97	0	0	0	0	5	 
57199320	5	0	0	2	2	1	21	3	0	1	0	97	0	0	0	0	6	 
57199320	6	0	0	2	1	2	24	3	0	1	0	97	0	0	0	0	7	 
57199320	7	1	1	2	2	2	20	3	0	1	0	97	0	0	0	0	2	 
57199896	1	0	1	1	1	2	23	3	0	1	0	97	0	0	0	0	1	 
57200870	1	0	1	1	1	10	34	4	0	1	1	1	2	0	0	0	4	 
57200870	2	0	1	1	1	4	28	4	0	1	1	1	2	0	0	0	3	 
57200870	3	0	1	1	1	1	25	4	0	1	0	97	2	0	0	0	2	 
57200870	4	0	1	1	1	6	30	4	0	1	0	97	2	0	0	0	1	 
57201771	1	1	1	2	2	2	21	3	0	1	0	97	0	0	0	0	1	 
57203993	1	0	1	2	1	1	22	3	0	1	0	97	0	0	0	0	1	 
57203993	2	0	0	2	2	2	19	4	0	1	0	97	0	0	0	0	2	 
57203993	3	1	1	2	3	97	21	4	0	1	0	97	0	0	0	0	3	 
57211108	1	1	1	2	2	1	22	4	8	1	1	2	1	1	0	1	1	1
57211108	2	0	0	2	2	3	20	4	0	1	0	97	0	0	0	0	3	 
57211108	3	0	0	2	2	2	21	4	0	1	0	97	0	0	0	0	2	 
57211375	1	0	1	1	1	1	21	4	0	1	0	97	0	0	0	1	4	 
57211375	2	0	1	1	3	97	20	4	0	1	0	97	0	0	0	1	3	 
57211375	3	0	0	1	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57211375	4	0	1	1	3	97	20	4	0	0	0	97	0	0	0	1	 	 
57211375	5	0	0	1	3	97	20	4	0	1	0	97	0	0	0	0	2	 
57211375	6	1	1	1	3	97	20	4	0	1	0	97	2	0	0	1	1	2
57212347	1	1	1	1	1	2	24	4	0	1	1	1	1	0	0	1	1	 
57212679	1	0	1	2	2	3	18	4	0	1	0	97	0	0	0	1	4	 
57212679	2	0	1	2	3	97	21	4	0	1	0	97	0	0	0	0	3	 
57212679	3	0	0	2	2	2	19	4	0	0	0	97	0	0	0	1	 	 
57212679	4	0	0	2	2	1	20	4	0	0	0	97	0	0	0	1	 	 
57212679	5	0	0	2	1	1	22	4	0	0	0	97	0	0	0	1	 	 
57212679	6	0	0	2	2	1	20	4	0	0	0	97	0	0	0	0	 	 
57212679	7	0	1	2	1	1	22	4	1	1	0	97	0	0	0	0	2	 
57212679	8	0	0	2	3	97	21	4	0	1	0	97	0	0	0	1	1	 
57212679	9	0	0	2	3	97	21	4	0	0	0	97	0	0	0	1	 	 
57212679	10	0	0	2	3	97	21	4	0	0	0	97	0	0	0	0	 	 
57214806	1	0	1	1	1	3	26	4	0	1	0	97	2	0	0	0	1	 
57214806	2	0	1	1	1	7	30	4	0	1	0	97	2	0	0	0	3	 
57214806	3	0	1	1	1	17	40	3	0	1	0	97	2	0	0	0	5	 
57214806	4	0	1	1	3	97	23	4	0	1	1	1	2	2	0	1	4	 
57214806	5	0	1	1	1	4	27	4	0	1	0	97	0	0	0	1	6	 
57214806	6	0	0	1	1	2	25	3	0	1	1	1	0	0	0	0	2	 
57214893	1	1	1	2	3	97	22	3	0	1	0	97	0	0	0	0	1	 
