AID	ELYEAR1	ELYEAR2	ELYEAR3	ELYEAR4	ELYEAR5	ELYEAR6	ELMAT945	ELGLV945	ELY1NINE	EAMSQ1	EAMSQ2	EAMSQ3	EAMSQ4	EAMSQ5	EAMSQ6	EAMSQH	EAMSQB1	EAMSQB2	EAMSQB3	EAMSQB4	EAMSQB5	EAMSQB6	EAMSQBH	EASSQ1	EASSQ2	EASSQ3	EASSQ4	EASSQ5	EASSQ6	EASSQH	EASSQB1	EASSQB2	EASSQB3	EASSQB4	EASSQB5	EASSQB6	EASSQBH	EAMGPA1	EAMGPA2	EAMGPA3	EAMGPA4	EAMGPA5	EAMGPA6	EAMGPAC	EASGPA1	EASGPA2	EASGPA3	EASGPA4	EASGPA5	EASGPA6	EASGPAC	EAOGPA1	EAOGPA2	EAOGPA3	EAOGPA4	EAOGPA5	EAOGPA6	EAOGPAC	EAMFIX1	EAMFIX2	EAMFIX3	EAMFIX4	EAMFIX5	EAMFIX6	EAMFIXC	EASFIX1	EASFIX2	EASFIX3	EASFIX4	EASFIX5	EASFIX6	EASFIXC	EAOFIX1	EAOFIX2	EAOFIX3	EAOFIX4	EAOFIX5	EAOFIX6	EAOFIXC
57100270	1991	1992	1993	1994	9992	9992	4	10	1	4	4	5	1	9992	9992	5	4	0	0	0	9992	9992	4	0	3	4	2	9992	9992	4	0	3	0	2	9992	9992	3	1	.5	0	0	9992	9992	.5	9994	1.5	0	.5	9992	9992	.667	2.167	1.143	.333	1.333	9992	9992	1.234	0	.5	1	1	9992	9992	.5	9994	.5	1	.5	9992	9992	.667	0	.357	.75	.444	9992	9992	.383
57103869	1991	1992	1993	1994	1995	9992	4	12	1	2	2	2	2	2	9992	2	2	0	0	0	0	9992	2	2	0	3	3	0	9992	3	2	0	0	0	0	9992	2	2	0	0	0	0	9992	.4	2	9994	0	0	9994	9992	.667	2	1	.429	0	0	9992	.767	0	1	1	1	1	9992	.8	0	9994	1	1	9994	9992	.667	0	.5	.571	1	1	9992	.567
57104676	1996	1997	1998	1999	9992	9992	9993	9993	1	4	5	7	2	9992	9992	7	4	5	0	2	9992	9992	5	2	2	4	0	9992	9992	4	2	2	4	0	9992	9992	4	1.333	2.5	0	4	9992	9992	1.625	2	3.5	1.5	9994	9992	9992	2.333	2.143	2.769	1.583	3	9992	9992	2.396	0	0	1	0	9992	9992	.25	0	0	0	9994	9992	9992	0	.071	0	.25	0	9992	9992	.075
57111071	1995	1996	1997	1998	9992	9992	9993	9993	1	4	5	7	8	9992	9992	8	4	5	7	8	9992	9992	8	3	2	4	6	9992	9992	6	3	2	4	6	9992	9992	6	4	4	4	4	9992	9992	4	1	3	3	3	9992	9992	2.5	3	3.5	3.286	3.125	9992	9992	3.207	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
57111786	1994	1995	1996	1997	9992	9992	1	9	1	4	5	6	0	9992	9992	6	4	5	6	0	9992	9992	6	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	3	2	2	9994	9992	9992	2.333	3	3	2	9994	9992	9992	2.667	3.333	2.375	2	2.833	9992	9992	2.615	0	0	0	9994	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
57117542	1997	9992	9992	9992	9992	9992	9993	9993	0	9993	9992	9992	9992	9992	9992	9993	9993	9992	9992	9992	9992	9992	9993	9993	9992	9992	9992	9992	9992	9993	9993	9992	9992	9992	9992	9992	9993	9993	9992	9992	9992	9992	9992	9993	9993	9992	9992	9992	9992	9992	9993	9995	9992	9992	9992	9992	9992	9995	9993	9992	9992	9992	9992	9992	9993	9993	9992	9992	9992	9992	9992	9993	9995	9992	9992	9992	9992	9992	9995
57118381	1996	1997	1998	1999	9992	9992	9993	9993	1	6	5	8	8	9992	9992	8	6	5	8	8	9992	9992	8	2	3	5	0	9992	9992	5	2	3	5	0	9992	9992	5	4	3	4	4	9992	9992	3.8	2	3	2.5	9994	9992	9992	2.4	3.25	3.375	2.5	3.75	9992	9992	3.156	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
57118943	1993	1994	1995	1996	9992	9992	2	10	1	4	5	6	4	9992	9992	6	4	5	6	4	9992	9992	6	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	3.5	2.5	2	2	9992	9992	2.5	3.5	2.5	3	9994	9992	9992	3	3	3.133	2.786	2.692	9992	9992	2.912	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
57120005	1996	1997	1998	1999	9992	9992	9993	9993	1	5	6	8	0	9992	9992	8	5	6	8	0	9992	9992	8	2	3	4	6	9992	9992	6	2	3	4	6	9992	9992	6	4	3	3.5	9994	9992	9992	3.5	4	4	3	2.5	9992	9992	3.375	3.833	3.5	3.583	3.4	9992	9992	3.587	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
57120371	1991	1992	1993	1994	9992	9992	4	12	1	3	4	5	6	9992	9992	6	3	4	5	6	9992	9992	6	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	4	3	.5	2.5	9992	9992	2.5	4	1.5	1	9994	9992	9992	2.167	3.067	2.563	1.5	2.214	9992	9992	2.386	0	0	.5	0	9992	9992	.125	0	0	.5	9994	9992	9992	.167	0	0	.25	.143	9992	9992	.088
57121404	1993	1994	1995	1996	9992	9992	2	10	1	4	5	6	0	9992	9992	6	4	5	6	0	9992	9992	6	3	5	5	5	9992	9992	5	3	5	5	5	9992	9992	5	3.5	3.5	2.5	9994	9992	9992	3.167	3.5	3	3.25	4	9992	9992	3.4	3.667	3.571	3.25	3.857	9992	9992	3.576	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
57121476	1995	1996	1997	1998	1999	9992	9993	9993	1	4	4	5	5	5	9992	5	4	0	5	5	0	9992	5	2	3	3	2	0	9992	3	2	0	3	2	0	9992	3	.5	0	1	2	1	9992	1.154	2	0	2	2	9994	9992	1.5	1.667	.933	1.938	2.688	2.4	9992	1.875	.5	1	.5	0	.5	9992	.385	0	1	0	0	9994	9992	.25	.25	.6	.125	0	.2	9992	.234
