AID	EREXITST	ERGRADM	ERGRADY
57100270	G	92	9992
57101310	A	92	9992
57103869	G	92	9992
57104676	A	6	2000
57109625	A	92	9992
57111071	A	6	1999
57111786	A	5	1998
57117542	G	92	9992
57117997	A	92	9992
57118381	A	5	2000
57118943	A	6	1997
57120005	A	6	2000
57120046	92	92	9992
57120371	A	6	1995
57121404	A	6	1997
57121476	A	6	2000
57123494	A	6	1997
57127241	A	6	2000
57129567	A	6	2002
57131432	A	92	9992
57131909	A	5	2000
57133772	A	6	2000
57134970	A	92	9992
57136630	A	6	1998
57138056	G	92	9992
57139880	A	6	2000
57141051	A	6	1998
57141800	A	92	9992
57141919	F	92	9992
57145151	A	5	1998
57146734	A	6	2000
57153160	A	92	9992
57154247	A	6	1996
57154249	A	92	9992
57154779	G	92	9992
57157723	A	92	9992
57159952	A	6	1997
57160648	G	92	9992
57164981	A	12	1999
57165081	A	6	1998
57166450	A	6	1998
57166463	A	6	2000
57167951	A	6	1999
57177419	A	6	1999
57177942	A	92	9992
57178110	A	5	2000
57178982	C	5	2001
57179591	A	92	9992
57186150	A	6	1997
57186582	A	6	1997
57191909	A	92	9992
57192841	A	6	1998
57193349	A	92	9992
57196641	A	5	1996
57199320	A	6	1997
57199896	A	5	1999
57200870	J	5	1996
57201771	A	92	9992
57203993	A	6	1998
57210612	A	92	9992
57211108	A	92	9992
57211375	A	6	1998
57212347	F	92	9992
57212679	G	11	2001
57213037	A	5	1995
57213527	A	6	1997
57214806	A	92	9992
57214893	A	92	9992
57217465	A	5	1998
57217613	A	92	9992
57218874	A	5	1998
57220133	F	92	9992
57220955	A	6	1997
57228523	G	92	9992
57230940	A	6	2000
57231300	A	6	1996
57232895	A	5	1996
57233403	A	6	1996
57234514	A	92	9992
57235039	A	5	1995
57239363	G	92	9992
57239974	A	6	1999
57241075	F	92	9992
57242812	I	92	9992
57242885	A	5	1996
57244606	A	92	9992
57245293	A	92	9992
57245315	A	5	1998
57245379	A	5	1997
57248884	A	5	1996
57249576	A	5	1997
57251197	92	92	9992
57253279	A	6	2001
57256290	F	92	9992
57260813	F	92	9992
57262270	F	92	9992
57263479	A	6	2000
57263513	A	3	1996
57265490	A	9	1999
57272274	F	92	9992
57275298	A	5	1999
57275660	A	92	9992
57277289	A	92	9992
57277290	A	5	1998
57279640	A	6	2000
57279680	G	92	9992
88122937	A	6	2000
88149345	92	92	9992
88191219	A	92	9992
88191364	A	6	1995
88202138	A	5	1996
88249047	A	92	9992
88251811	A	5	1996
88268811	A	6	1997
90316053	A	6	1999
90316656	A	6	2000
90500059	A	6	1996
90500217	A	92	9992
90500459	A	6	1998
90500516	A	6	1996
90500633	A	5	1996
90500638	92	92	9992
90500914	A	5	1995
90500974	92	92	9992
90503807	A	6	1997
90504104	A	6	1997
90504142	A	5	1995
90504220	A	5	1997
90504248	G	92	9992
90504500	A	6	1997
90504504	A	6	1998
90504603	A	6	1998
90506040	G	92	9992
90506094	A	6	1997
90506203	A	6	1996
90506236	A	6	1997
90506268	A	6	1998
90506285	G	92	9992
90506286	G	92	9992
90506372	B	5	1995
90506428	A	6	1997
90506472	G	92	9992
90506725	G	92	9992
90506828	A	92	9992
90506849	A	6	2000
90506896	G	92	9992
90507350	A	92	9992
90507957	A	92	9992
90508033	A	6	1995
90508165	A	5	1998
90508577	A	92	9992
90543102	A	6	1995
90543104	A	6	1997
90544204	A	6	1997
90546223	A	6	1996
90548078	A	6	1998
90570023	A	92	9992
90570080	G	92	9992
90570184	A	6	1995
90570190	A	5	1998
90570222	A	6	1996
90570280	A	6	1995
90570412	A	5	1996
90570536	A	6	1997
90570582	A	6	1995
90570626	A	6	1995
90570655	A	8	1996
90570697	A	92	9992
90570720	A	6	1998
90570725	A	92	9992
90570778	A	12	1996
90570820	A	92	9992
90570892	A	5	1995
90570992	A	92	9992
90571004	A	6	2000
90571069	A	6	1998
90571074	F	92	9992
90571103	A	6	1999
90571107	A	92	9992
90571171	F	92	9992
90571210	F	92	9992
90571211	A	6	1998
90571217	A	6	1999
90571276	C	1	1997
90571315	A	6	1998
90571319	A	5	1996
90571401	A	6	2000
90571402	A	8	1995
90571418	A	6	1996
90571461	A	92	9992
90571472	A	6	1995
90571805	A	6	1999
90571807	A	6	2000
90571816	A	6	1999
90571861	A	6	1995
90571913	A	6	1995
90571914	F	92	9992
90572007	A	5	1998
90572049	A	5	1998
90572070	A	5	1998
90572147	A	92	9992
90572169	A	6	1999
90572172	A	5	1996
90572177	A	92	9992
90572192	A	92	9992
90572198	A	5	1996
90572213	A	5	1997
90572221	92	92	9992
90572265	A	6	1997
90572268	A	6	2000
90572269	A	5	1998
90572280	G	92	9992
90572282	A	6	1996
90572283	A	5	1998
90572285	A	6	1996
90572303	A	5	1998
90572323	A	6	1995
90572325	A	92	9992
90572341	A	92	9992
90572369	A	6	1996
90572383	A	6	1996
90572384	A	6	1997
90572389	A	5	1999
90572393	A	5	1996
90572448	A	92	9992
90572469	A	6	2000
90572862	G	92	9992
90572900	A	5	1997
90572909	A	5	1997
90572920	92	92	9992
90572925	F	92	9992
90572974	A	5	1996
90572983	A	6	1995
90572984	A	6	1996
90572986	A	5	1998
90572991	G	92	9992
90572998	A	5	1996
90573011	A	6	1996
90573194	A	5	1995
90573212	A	6	1999
90573491	A	6	1997
90573618	A	11	1998
90573818	G	2	1998
90573897	A	5	1996
90573940	A	6	1999
90573941	A	92	9992
90573945	A	92	9992
90573946	A	92	9992
90573954	A	5	1999
90573956	A	5	2000
90573959	A	5	1996
90573992	A	6	1997
90574133	G	92	9992
90574197	A	6	1992
90574204	A	92	9992
90574205	A	6	1996
90574307	A	6	1996
90574335	A	6	1996
90574392	A	6	1998
90574415	A	6	1998
90574489	A	6	1998
90574494	F	92	9992
90574503	A	5	1997
90574538	G	92	9992
90574744	A	92	9992
90574805	A	6	1997
90574835	A	92	9992
90574884	92	92	9992
90574890	A	5	1996
90574918	A	6	1998
90574935	G	92	9992
90574992	F	92	9992
90575009	A	6	1998
90575027	G	92	9992
90575039	A	5	1996
90575111	A	6	1998
90575118	A	6	1995
90575126	G	92	9992
90575131	92	5	1997
90575158	A	92	9992
90575167	A	6	1998
90575207	A	6	2000
90575216	A	6	1997
90575229	A	5	1995
90575250	F	92	9992
90575263	A	6	1996
90575288	A	5	1995
90575333	A	6	1998
90575354	A	5	1998
90575378	A	6	1996
90575623	A	6	1995
90575834	F	92	9992
90575871	A	6	1996
90575873	A	6	1996
90575919	A	6	1997
90575931	A	5	1996
90575940	A	5	1997
90575942	92	92	9992
90575944	92	92	9992
90575946	A	5	1998
90575948	A	5	1996
90575950	A	5	1998
90575966	A	6	1995
90575975	A	6	1995
90575978	A	6	1997
90575982	A	5	1998
90575991	A	6	1998
90576026	A	6	1990
90576057	A	6	1998
90576117	A	5	1996
90576119	A	5	1997
90576142	A	5	1996
90576148	A	6	2000
90576245	A	5	1996
90576248	A	6	1998
90576285	A	6	1997
90576320	A	6	1994
90576336	A	6	1998
90576412	A	5	1998
90576445	A	6	1998
90576481	G	92	9992
90576485	A	6	1995
90576522	A	6	1995
90576531	A	6	1995
90576561	A	6	1998
90576687	A	6	1998
90576754	G	92	9992
90576758	G	92	9992
90576759	A	6	1997
90576811	A	5	1997
90576837	A	6	1996
90576844	A	6	1998
90576919	A	5	1997
90576925	A	6	1996
90576928	A	6	2001
90576942	A	92	9992
90576948	G	6	1998
90576987	G	92	9992
90577063	A	92	9992
90577065	A	5	1995
90577119	C	92	9992
90577161	B	5	1997
90577167	A	5	1996
90577224	A	92	9992
90577225	A	92	9992
90577227	A	6	1999
90577229	A	92	9992
90577256	A	8	1995
90577259	A	6	1995
90577267	F	92	9992
90577322	A	6	1996
90577326	A	6	1995
90577411	A	92	9992
90577516	A	92	9992
90577618	A	92	9992
90577712	G	92	9992
90577782	A	6	1996
90577817	A	92	9992
90577852	A	5	1996
90577920	A	6	1995
90577928	A	6	2000
90577929	A	92	9992
90577964	B	5	1997
90578004	A	6	1997
90578025	A	6	1997
90578044	A	6	1996
90578076	A	6	1996
90578105	A	6	1995
90578112	A	6	1996
90578198	A	5	1996
90578203	A	6	1996
90578217	A	5	1997
90578260	A	92	9992
90578288	I	5	1995
90578302	A	6	1996
90578304	A	6	1996
90578380	A	5	1995
90578404	A	92	9992
90578461	A	5	1998
90578487	G	92	9992
90578496	B	5	1998
90578500	F	92	9992
90578505	A	6	1996
90578576	A	92	9992
90578587	A	5	1998
90578618	A	6	1996
90578620	A	6	1998
90578661	A	92	9992
90578787	I	5	1997
90578805	A	6	1996
90578806	A	6	1997
90578813	A	6	1995
90578846	A	6	1997
90578873	A	6	1997
90578880	A	3	1997
90578923	A	6	1998
90578927	F	92	9992
90578981	A	92	9992
90578985	B	5	1995
90578986	B	5	1997
90578999	A	5	1996
90579230	A	5	1996
90579233	A	9	1992
90579270	A	6	1997
90579271	A	6	1998
90579272	A	5	1998
90579296	A	6	1998
90579944	A	5	1995
90579960	A	5	1997
90579966	A	92	9992
90579967	A	92	9992
90579973	A	92	9992
90579985	J	92	9992
90579990	A	5	1997
90579992	A	5	1995
90579993	A	92	9992
90606629	F	92	9992
90606920	A	6	1995
90608976	A	6	1997
90614172	A	6	1997
90614371	A	6	1997
90614876	A	6	1995
90614978	A	6	1997
90619168	A	6	1996
90619260	A	6	1998
90619265	A	6	1995
90619360	A	92	9992
90619464	A	6	2000
90619861	A	6	1996
90619961	A	6	1997
90636252	A	6	1996
90646128	A	8	1995
90676053	A	6	1996
90676321	A	8	1995
90676422	A	6	1995
90676458	A	6	1997
90676725	F	92	9992
90676829	A	6	1998
90678178	A	5	1996
90678378	A	92	9992
90678671	A	5	1996
90710085	A	6	2000
90710194	A	5	1999
90710218	92	92	9992
90710297	A	6	2000
90710316	92	92	9992
90710319	G	92	9992
90710386	A	6	1998
90710930	A	6	2000
90711360	A	6	2000
90712140	A	5	1999
90712211	A	6	1999
90712216	A	5	2000
90712290	G	92	9992
90712914	F	9	1999
90712942	A	5	2000
90712997	F	92	9992
90713391	A	6	1999
90713395	A	6	1999
90713702	A	6	2000
90713909	G	92	9992
90713930	A	5	1999
90713998	A	6	2000
90714016	A	92	9992
90714018	A	92	9992
90714022	A	6	1999
90714025	A	6	2000
90714212	A	92	9992
90714232	A	92	9992
90714233	A	92	9992
90714237	A	92	9992
90714238	A	6	2000
90714245	A	5	2000
90714328	A	6	2000
90714390	A	6	2000
90714918	A	92	9992
90714942	A	92	9992
90715191	A	6	2000
90715198	A	6	1999
90715266	A	6	1999
90715267	A	92	9992
90715294	A	6	2000
90715353	A	5	1999
90715983	A	5	2000
90715987	F	92	9992
90715988	A	5	1999
90715993	A	6	1999
90716050	A	6	1999
90716064	G	92	9992
90716091	A	92	9992
90716258	A	6	2000
90716352	G	92	9992
90716390	G	92	9992
90716951	A	5	1999
90716952	A	6	2000
90716969	A	6	1999
90716973	A	5	1999
90716975	A	6	2000
90716976	A	12	2000
90716978	A	6	1999
90716979	A	6	2000
90716990	G	92	9992
90716994	A	1	1999
90717150	A	6	1999
90717158	A	6	1999
90717167	F	92	9992
90717362	A	5	1999
90718081	A	5	2000
90718089	B	5	2000
90718113	A	6	2000
90718115	A	5	1999
90718147	F	92	9992
90718178	A	5	2000
90718183	B	5	1999
90718207	A	6	2000
90718222	A	92	9992
90718225	A	92	9992
90718268	A	92	9992
90718273	A	6	2000
90718280	B	5	1999
90718303	A	5	1998
90718305	A	6	1999
90718311	A	7	2000
90718394	A	92	9992
90718940	A	92	9992
90718981	I	92	9992
90719275	A	6	1999
90719930	A	5	2000
90719934	A	92	9992
90719937	A	5	1999
90719939	A	5	2000
90719972	A	6	1999
91316152	A	6	1999
91374970	A	6	2000
91374975	A	6	2000
91374977	A	6	1999
91500014	A	5	1996
91500119	G	92	9992
91500186	A	6	1996
91500226	A	6	1995
91500238	A	5	1995
91500373	A	5	1998
91500411	A	5	1998
91500833	A	6	1997
91500977	A	5	1998
91501350	A	5	1997
91504088	G	92	9992
91504104	A	6	1997
91504224	A	6	1997
91504341	A	5	1996
91504485	B	6	1998
91504629	A	6	1995
91504686	A	92	9992
91504702	A	6	1998
91504729	A	6	1998
91504929	A	6	1998
91506146	A	6	1999
91506304	A	6	1995
91506305	A	6	1997
91506392	A	92	9992
91506443	A	6	1999
91506790	A	92	9992
91506894	A	6	1995
91506902	A	1	1996
91506935	A	8	1996
91506944	A	5	1996
91506946	A	6	1995
91506955	A	5	1995
91506993	A	6	1997
91507010	A	5	1995
91507116	A	5	1996
91507316	A	92	9992
91507851	A	6	1995
91508025	A	6	1997
91508026	A	92	9992
91508123	A	6	1996
91508169	A	5	1998
91508381	B	5	1997
91508387	A	7	1997
91508439	A	92	9992
91508526	A	92	9992
91508766	A	5	1997
91508836	A	6	1996
91508862	A	92	9992
91508873	A	6	1996
91508948	A	6	1995
91540215	A	5	1998
91540453	A	6	1995
91540457	J	6	1997
91543707	A	92	9992
91544201	A	6	1997
91544202	A	6	1995
91544302	A	6	1995
91546074	B	6	1998
91546574	A	6	1997
91570095	A	5	1998
91570110	A	92	9992
91570129	A	5	2000
91570187	C	6	1996
91570291	A	5	1998
91570412	A	92	9992
91570425	A	6	1998
91570497	A	5	1995
91570523	A	92	9992
91570524	G	92	9992
91570525	A	6	1999
91570528	A	92	9992
91570553	F	92	9992
91570597	A	5	1997
91570614	A	5	1996
91570621	A	6	2000
91570692	A	5	1998
91570823	A	92	9992
91570829	A	92	9992
91570928	A	6	1996
91570986	F	92	9992
91570993	A	92	9992
91570997	A	5	1998
91571005	A	6	1998
91571014	A	6	2000
91571116	A	6	1999
91571155	A	5	1996
91571214	A	6	1996
91571218	A	6	1997
91571310	A	6	1998
91571379	F	92	9992
91571467	A	8	1995
91571560	A	6	1998
