AID	PTWGT3	PTWGT3_2
57100270	 	1326.254104765
57103869	13791.323801229	15732.231038087
57104676	6021.548824963	5840.016513395
57111071	5738.697145708	5334.203284416
57111786	6782.674334667	6368.775599709
57117542	 	11241.006169862
57118381	7898.38936637	7633.431725848
57118943	5807.335714167	5757.323605525
57120005	7454.17364659	6785.157219792
57120371	 	8137.668651121
57121404	5504.199575605	5263.263431759
57121476	8542.510681682	7933.105965987
57123494	3306.777667905	3263.521790346
57127241	2951.514814901	2934.775795971
57129567	1324.894530398	1284.015371495
57131909	5295.788632023	4588.777442851
57133772	8644.636183532	8207.019203096
57136630	2509.854165432	2689.59867127
57138056	6535.211972739	5899.234634121
57139880	6802.073544951	6123.235310542
57141051	8340.920359205	6960.365952875
57141800	 	4813.868661134
57141919	 	4813.868661134
57145151	1699.473976556	1468.985937803
57146734	6805.051007454	6623.893069965
57154247	3281.742808491	3217.645267455
57154779	6005.433269025	5493.079490493
57159952	5807.335714167	5757.323605525
57160648	6754.566223067	5830.426164439
57164981	3159.05802745	3143.595921248
57165081	3254.733696419	3181.852316907
57166450	2705.012843348	2873.214060116
57166463	1783.317083842	1729.555204692
57167951	5807.675644786	5731.859639295
57177419	7438.566209668	6856.712728981
57178110	5295.788632023	4588.777442851
57178982	 	1347.69399558
57186150	5807.335714167	5757.323605525
57186582	2941.470790809	2995.083525091
57192841	5546.747021319	5494.739981486
57196641	6274.984453893	5729.09503668
57199320	1692.125021728	1726.782869343
57199896	 	8451.231730157
57200870	 	6787.899994495
57203993	8340.920359205	6960.365952875
57211375	5546.747021319	5494.739981486
57212347	13798.580762312	11458.701118781
57212679	 	6671.273860772
57213037	 	7343.099647609
57213527	4097.163093236	3882.315228377
57214806	3350.300192179	3008.379942401
57217465	6757.279281829	6693.922222888
57218874	6672.474768356	6609.484486193
57220133	 	7990.592549108
57220955	5807.335714167	5757.323605525
57228523	5353.492706228	4697.504086025
57230940	10115.488788005	9207.617652774
57231300	5714.663533327	5315.767849689
57232895	6455.914213515	5924.17886907
57233403	4127.386532889	3852.902358614
57235039	5547.2646426	5528.250443551
57239363	5997.135459293	5364.50877379
57239974	4714.807320696	3572.060898028
57241075	3304.233085865	2424.572126962
57242812	6795.586811368	7481.311961852
57242885	6563.464014157	5615.009202476
57245293	6096.722443858	5591.568329455
