SCHWT1	CLUSTER2
929.783	102
808.507	103
467.236	104
586.711	107
694.539	108
463.859	109
549.519	110
283.471	111
190.921	113
225.303	114
339.166	115
242.634	116
176.74	118
180.972	119
199.518	120
181.997	121
266.024	122
249.107	123
179.282	124
233.385	125
165.491	126
152.679	127
202.127	128
285.533	129
117.387	130
92.639	132
130.029	134
194.706	135
109.968	136
143.6	140
93.097	141
35.891	142
89.105	143
61.302	145
50.152	147
150.28	148
86.293	150
78.731	151
114.112	153
64.503	154
155.745	155
125.478	156
64.633	157
136.401	158
150.921	159
62.884	160
85.434	161
78.856	163
133.881	165
70.47	166
158.345	167
128.221	168
65.895	169
41.977	171
89.834	172
64.613	173
76.025	174
114.788	175
61.331	176
68.366	177
40.834	178
52.06	179
37.796	180
227.55	181
630.848	182
124.554	185
36.986	186
65.892	187
160.412	188
600.64	189
197.14	191
72.064	192
120.372	193
184.612	194
105.141	195
603.819	207
565.542	210
349.055	215
4170.133	216
181.893	218
186.248	219
205.336	220
187.304	221
273.781	222
525.391	223
184.509	224
1587.019	227
80.275	228
133.82	234
103.114	240
88.967	242
152.839	243
156.273	245
89.188	247
154.662	248
89.697	250
162.054	251
117.439	253
258.581	254
160.286	255
161.904	256
177.934	258
155.321	259
194.151	260
183.059	261
103.805	263
551.139	265
336.772	267
162.195	268
87.868	269
55.104	271
81.025	272
126.345	273
68.99	274
118.135	275
743.116	276
180.618	277
116.374	278
75.851	280
67.689	286
111.971	287
165.089	288
148.33	292
189.995	294
1289.711	295
368.486	304
93.598	360
99.517	370
49.364	371
58.294	372
576.107	470
58.844	472
