AID	AH_RAW	PVTPCT3	PVTSTD3C	PVTSTD3L	PVTPCT1C	PVTPCT1L	PVTSTD1
57100270	1	0	8	10	14	13	83
57101310	61	20	87	90	15	14	86
57103869	58	13	83	86	10	9	82
57104676	996	996	996	996	25	 	89
57109625	86	98	120	121	18	17	86
57111071	76	68	107	109	80	79	113
57111786	77	71	108	110	56	55	102
57113943	58	13	83	86	23	22	88
57117542	66	33	94	96	31	29	92
57117997	65	30	93	95	21	20	88
57118381	75	63	106	107	49	48	97
57118943	74	56	104	106	89	88	119
57120005	79	79	111	113	93	93	120
57120046	61	20	87	90	40	39	97
57120371	63	25	90	92	7	7	78
57121404	84	94	118	119	92	91	122
57121476	61	20	87	90	27	26	89
57123494	56	10	81	83	0	0	57
57127241	76	68	107	109	10	10	83
57129567	73	50	103	105	32	31	91
57131432	62	23	89	91	28	27	91
57131909	74	56	104	106	 	 	 
57133772	79	79	111	113	74	73	110
57134967	58	13	83	86	19	18	87
57134970	50	3	73	75	2	2	65
57135078	70	39	99	101	46	45	98
57136630	 	 	 	 	90	 	120
57138056	75	63	106	107	96	95	124
57139880	85	96	119	120	82	81	114
57141051	87	100	122	123	34	32	93
57141800	71	41	100	102	25	24	89
57141919	50	3	73	75	4	4	75
57145151	82	88	115	116	90	89	119
57146734	78	75	110	111	65	64	105
57153160	87	100	122	123	24	23	91
57154247	76	68	107	109	47	45	99
57154249	79	79	111	113	67	66	106
57154779	54	7	78	81	19	18	86
57157723	74	56	104	106	65	64	106
57159952	77	71	108	110	71	70	109
57160648	76	68	107	109	44	43	98
57164981	51	4	74	77	5	4	75
57165081	52	5	75	78	6	5	78
57166450	996	996	996	996	22	 	87
57166463	63	25	90	92	48	47	97
57167951	75	63	106	107	94	93	122
57177419	77	71	108	110	33	32	92
57177942	72	45	102	104	38	37	96
57178110	74	56	104	106	 	 	 
57178982	65	30	93	95	30	29	91
57179591	82	88	115	116	90	90	118
57186150	83	91	116	118	89	88	119
57186582	75	63	106	107	36	34	95
57191424	57	11	82	84	36	34	93
57191909	996	996	996	996	20	 	90
57192841	86	98	120	121	89	88	117
57193349	50	3	73	75	9	8	79
57196641	74	56	104	106	4	4	72
57199320	67	35	95	97	14	13	83
57199896	68	36	96	98	45	44	97
57200870	73	50	103	105	 	 	 
57201771	8	0	17	20	15	14	84
57203993	71	41	100	102	70	69	109
57210612	52	5	75	78	24	23	89
57211108	59	15	85	87	20	19	87
57211375	81	85	114	115	92	91	121
57212347	38	1	57	60	0	0	54
57212679	75	63	106	107	82	81	114
