AID	CLUSTER2	GSWGT3	GSWGT3_2
57100270	178	 	719.995
57101310	108	3664.9636	3322.5274
57103869	167	11260.9335	8758.8746
57104676	278	3282.8023	2931.4843
57109625	224	8527.4631	8063.9301
57111071	185	4147.1188	3921.6911
57111786	154	4865.5185	4503.7077
57113943	167	10214.1292	9454.5839
57117542	151	 	7716.4814
57117997	278	854.7496	788.8899
57118381	294	6967.0335	6448.6294
57118943	187	5194.9701	4833.9772
57120005	274	6613.5297	6069.3451
57120046	111	1562.6165	1426.7047
57120371	161	 	7829.707
57121404	187	5194.9701	4833.9772
57121476	286	5813.7319	5435.3925
57123494	141	2198.9905	2046.185
57127241	179	2573.4209	2381.9374
57129567	228	742.8376	663.3408
57131432	145	5820.1113	5400.6136
57131909	108	4409.1605	4046.3592
57133772	248	5483.8336	5075.7917
57134967	267	3665.9827	3383.5134
57134970	253	4504.1983	3936.4451
57135078	109	2663.9613	2490.5991
57136630	179	2293.9587	2198.3512
57138056	240	6506.033	6102.7123
57139880	228	6058.7763	5560.2388
57141051	172	7249.9764	6352.3208
57141800	278	 	4237.0655
57141919	278	 	4237.0655
57145151	129	1508.407	1445.5397
57146734	271	6061.4284	5562.6727
57153160	161	15094.4532	11564.2375
57154247	141	2418.5196	2208.1638
57154249	141	2425.5771	2349.3822
57154779	267	3665.9827	3383.5134
57157723	243	 	6728.7695
57159952	187	5194.9701	4833.9772
57160648	168	6441.9165	5881.6173
57164981	179	2414.9754	2283.703
57165081	179	3024.7017	2650.1983
57166450	278	1445.8948	1338.3749
57166463	278	972.2212	868.1763
57167951	114	5444.7236	5148.7612
57177419	240	6148.6073	5814.3834
57177942	189	3014.0105	2796.7689
57178110	108	4409.1605	4046.3592
57178982	287	 	1254.5183
57179591	189	2924.5767	2734.2544
57186150	187	5194.9701	4833.9772
57186582	141	2474.0948	2295.7688
57191424	248	5986.1286	5660.7367
57191909	108	4742.018	4302.2265
57192841	187	5729.7277	5490.9243
57193349	142	4657.2391	4162.013
57196641	145	5014.5985	4578.4433
57199320	193	1330.0665	1188.6343
57199896	253	 	5163.5082
57200870	172	 	6598.1737
57201771	154	 	8261.1642
57203993	172	7249.9764	6352.3208
57210612	178	466.2873	429.2066
57211108	108	3237.861	3004.4848
57211375	187	5729.7277	5490.9243
57212347	165	10521.0263	9285.4113
57212679	187	 	5950.1351
57213037	172	 	7285.9988
57213527	177	4217.7271	3907.8405
57214806	165	3151.598	2859.3077
57214893	167	1641.8425	1552.7859
57217465	186	6980.194	6689.2738
57217613	210	17771.7328	16309.4117
57218874	107	4618.2218	4274.8005
57220133	168	 	7446.2923
57220955	187	5194.9701	4833.9772
57228523	167	4202.0643	3811.5249
57230940	273	8974.7152	8236.2438
57231300	187	4905.8311	4450.847
57231603	179	2180.2116	2023.0679
57232895	145	5014.5985	4578.4433
57233403	174	4338.0222	3960.7137
57234514	108	4742.018	4302.2265
57235039	115	5475.3379	5303.3406
57239363	115	5688.3231	4984.0236
57239974	215	4520.8686	4226.6647
57241075	109	2663.9613	2490.5991
57242812	120	5228.0631	4839.2927
57242885	108	4742.018	4302.2265
57244606	167	4167.5196	3778.127
57245293	240	4885.2072	4646.9974
57245315	123	 	1610.9685
57245379	150	6425.8923	5979.3639
57248884	115	5382.1419	4882.9831
57249576	115	4274.5154	3977.4839
57251197	278	2633.6554	2430.7284
57253279	240	2973.5948	2744.475
57256290	174	5268.8986	4616.5301
57260813	218	3797.8132	3550.6635
57262270	109	2772.227	2565.9507
57263479	228	6058.7763	5560.2388
57263513	159	7383.6513	6469.4447
57265490	187	3840.942	3568.409
57272274	140	1948.9116	1810.6271
57275298	220	3548.3419	3257.8363
57275660	166	4655.623	4320.0584
57277289	129	1982.4969	1819.3701
57277290	129	1493.8396	1438.044
57279640	240	8761.9694	8041.0036
57279680	109	2772.227	2565.9507
88122937	273	8974.7152	8236.2438
88149345	111	2376.9997	1837.5362
88191219	141	5465.7943	4194.8153
88191364	141	 	4623.7072
88202138	121	7412.7237	5722.7654
88249047	120	6011.8381	5425.4298
88251811	175	3930.2902	3588.445
88268811	168	 	7880.9976
90316053	472	4878.8987	4561.3953
90316656	472	6617.2897	6072.7956
90500059	142	4760.0895	4222.376
90500217	145	 	5989.5109
90500459	142	370.5113	344.2218
90500516	145	 	5310.4267
90500633	147	5081.6958	4610.4014
90500638	147	5089.7283	4616.6895
90500914	145	 	1141.9465
90500974	150	5137.4138	4690.5764
90501955	132	10593.935	9830.3531
90503807	186	5497.5359	5101.2886
90504104	166	 	894.7075
90504142	169	 	4371.4643
90504220	161	7239.1956	6717.4141
90504248	169	 	6863.7014
90504500	166	1003.3238	894.7075
90504504	166	704.6907	654.6895
90504603	166	931.1899	861.9445
90506040	179	2019.6057	1879.2654
90506094	178	4851.1533	4325.9845
90506203	176	4497.3376	3994.049
90506236	177	3964.6006	3689.1047
90506268	174	5268.8986	4616.5301
90506285	173	6241.9921	5469.14
90506286	173	 	5538.1945
90506372	180	 	5101.8674
90506397	178	523.4712	467.8081
90506428	171	3962.5051	3687.1548
90506472	180	 	4371.6506
90506725	171	4398.2362	4233.96
90506828	171	3962.5051	3687.1548
90506849	179	2573.4209	2381.9374
90506896	178	 	525.0788
90507350	192	5068.2716	4716.0828
90507957	192	4964.1902	4757.2929
90508033	157	 	4735.5509
90508165	154	2512.1179	2289.9229
90508577	160	18378.0949	17101.0208
90543102	186	 	4953.3432
90543104	186	4947.5482	4603.7484
90544204	166	1003.3238	894.7075
90546223	171	4165.2446	3802.9637
90548078	160	21827.1616	20917.45
90570023	141	2659.5324	2412.878
90570080	143	 	7338.5169
90570184	143	 	6308.6302
90570190	148	4964.9376	4758.0091
90570222	141	2418.5196	2208.1638
90570280	143	 	10128.1683
90570282	143	1113.6913	995.2672
90570412	145	5014.5985	4578.4433
90570531	147	5003.2038	4568.0396
90570536	147	4934.3586	4400.1822
90570582	143	 	1673.6579
90570626	141	5736.6068	4461.9942
90570628	141	1745.211	1610.7399
90570655	142	 	421.6883
90570697	148	 	6255.6384
90570720	141	2588.0727	2480.2072
90570725	141	 	2349.3822
90570778	150	6425.8923	5979.3639
90570820	141	5088.6258	4940.0424
90570892	148	 	4807.3868
90570992	148	5362.7905	4990.136
90571004	136	3797.7998	3485.3034
90571069	134	5277.0411	5057.1048
90571074	140	 	7809.53
90571103	136	2806.819	2654.2469
90571107	136	2699.8466	2524.1491
90571171	140	496.6356	449.5401
90571210	135	6190.3687	5681.0033
90571211	135	 	3876.256
90571217	135	3444.468	3220.3128
90571276	140	2461.501	2290.4539
90571315	135	4424.0154	3876.256
90571319	135	3259.8809	2976.3459
90571401	136	2377.3289	2200.4362
90571402	136	 	2952.5146
90571418	135	3401.9086	3086.4036
90571461	134	5305.9843	4844.4852
90571472	140	2164.7368	2096.7357
90571506	136	 	1680.0076
90571805	136	2699.8466	2524.1491
90571807	136	3797.7998	3485.3034
90571816	135	3444.468	3220.3128
90571861	134	 	6499.071
90571913	135	 	3280.7793
90571914	135	3641.35	3370.4039
90572007	116	5283.519	5063.3127
90572049	119	8341.6322	7308.8132
90572070	120	6586.3539	5770.8647
90572147	119	8341.6322	7308.8132
90572169	114	5444.7236	5148.7612
90572172	120	4330.1321	3953.5098
90572177	120	 	5035.1691
90572192	118	 	3041.8411
90572198	118	2277.5883	2066.3567
90572213	115	4274.5154	3977.4839
90572221	111	2678.8162	2504.4873
90572265	114	5404.6118	5029.0511
90572268	114	4552.5273	4213.7822
90572269	114	4440.6347	4255.5582
90572280	113	1006.9524	964.9847
90572282	113	883.4244	800.8816
90572283	113	1006.9524	964.9847
90572285	113	883.4244	800.8816
90572303	116	5283.519	5063.3127
90572323	111	 	2073.7916
90572325	111	2678.8162	2504.4873
90572341	119	6869.4869	6207.9794
90572369	114	4338.1476	3960.8281
90572383	113	1054.9938	956.9428
90572384	113	1671.9697	1593.7602
90572389	113	1265.7373	1162.1104
90572393	118	2371.4706	2165.207
90572448	119	 	5557.3397
90572469	114	4552.5273	4213.7822
90572862	114	5584.179	5181.6867
90572900	116	5496.1283	5114.2082
90572909	116	7212.4594	6692.605
90572920	111	3121.1406	2888.9023
90572922	111	 	1626.4431
90572925	111	2678.8162	2504.4873
90572974	120	4690.991	4255.9319
90572983	113	 	1222.1643
90572984	113	 	1037.034
90572986	113	1766.3512	1547.6505
90572991	118	2277.5883	2066.3567
90572998	118	2371.4706	2165.207
90573011	185	2207.4516	2002.7248
90573117	185	 	1935.4046
90573194	188	 	5489.2167
90573212	185	4147.1188	3921.6911
90573222	181	 	4730.4138
90573491	188	4980.3783	4634.2971
90573618	185	3055.7755	2856.9152
90573818	185	4750.4466	4359.5631
90573897	188	6040.8703	5515.4529
90573940	189	3043.434	2816.9777
90573941	189	2924.5767	2734.2544
90573945	189	3523.2411	3279.1101
90573946	189	3380.2811	3066.7819
90573954	182	3537.5391	3307.3272
90573956	182	3681.3078	3407.3885
90573959	182	3985.0948	3638.4828
90573992	188	 	5931.9723
90574133	167	6309.7985	5855.0054
90574197	168	 	8907.855
90574204	166	5041.8994	4684.1527
90574205	166	7361.0888	6678.3954
90574307	166	 	791.4031
90574335	167	5409.6993	5033.7851
90574392	168	6064.0484	5633.7754
90574415	165	10598.858	9611.218
90574489	163	6925.768	6637.1161
90574494	168	 	6080.3753
90574503	166	8162.9489	7595.7143
90574538	167	3958.4516	4111.9697
90574697	168	6441.9165	5881.6173
90574744	169	7677.3309	7390.579
90574805	166	837.5087	748.4525
90574835	167	4167.5196	3778.127
90574884	163	 	8851.3943
90574890	168	5701.824	5169.0735
90574918	165	1756.926	1626.2771
90574935	167	 	1636.6224
90574992	168	 	6022.6931
90575009	126	3690.3444	3536.5384
90575027	121	 	1992.8401
90575039	127	 	3030.3678
90575111	125	4932.0091	4726.453
90575118	125	 	5792.8659
90575126	121	 	1533.8089
90575131	127	3369.7936	3135.6303
90575158	122	3875.0662	3538.0242
90575167	124	4523.3806	4334.8554
90575207	126	4371.5413	4011.8354
90575210	125	3651.7358	3334.1184
90575216	125	5002.2118	4654.6134
90575229	121	2230.352	2121.5968
90575247	129	1930.4818	1742.1782
90575250	122	3124.7388	2907.6041
90575263	124	4667.9309	4235.0105
90575266	124	4098.2674	3793.5111
90575288	123	 	7228.8404
90575333	127	4470.2735	3916.7867
90575354	122	6116.4627	5861.541
90575378	130	5689.9687	5162.2609
90575390	128	3816.4228	3532.6251
90575623	121	 	2428.9491
90575834	127	3548.3777	3284.5125
90575871	130	4891.4844	4466.0373
90575873	130	1301.8052	1180.1709
90575919	125	3966.1404	3680.2719
90575931	127	3319.0491	3030.3678
90575940	129	1594.4229	1477.2768
90575942	129	900.7356	831.3326
90575944	129	900.7356	831.3326
90575946	129	1508.407	1445.5397
90575948	129	 	1553.4689
90575950	122	6116.4627	5861.541
90575966	124	 	6622.4246
90575975	130	 	5479.4993
90575978	130	4811.7724	4477.4075
90575982	123	3149.9495	2926.4456
90575991	128	1423.2748	1322.2867
90575994	128	2037.1514	1895.5919
90576026	171	5712.3334	5005.061
90576057	172	 	5972.3767
90576117	175	 	3588.445
90576119	175	4898.7437	4558.3353
90576142	179	2234.0784	1984.0668
90576148	179	2573.4209	2381.9374
90576245	179	2296.8059	2083.792
90576248	179	3024.7017	2650.1983
90576285	173	4870.4481	4532.0058
90576320	171	3029.674	2934.5025
90576336	177	4550.2712	3986.8795
90576412	175	5071.4925	4860.1231
90576445	179	2293.9587	2198.3512
90576481	173	4278.7518	3881.9253
90576485	173	 	10527.0043
90576522	171	 	2934.5025
90576531	177	 	5203.0166
90576561	174	4591.212	4399.8597
90576687	173	4151.716	3978.681
90576754	172	 	933.1061
90576758	172	5221.2788	4844.9433
90576759	172	6078.2103	5655.8419
90576811	175	5071.4925	4860.1231
90576837	177	4681.5498	4274.3622
90576844	179	3024.7017	2650.1983
90576919	175	4620.88	4287.8196
90576925	171	2946.3323	2673.079
90576928	171	3962.5051	3687.1548
90576942	179	2401.7704	2240.1925
90576948	179	2019.6057	1879.2654
90576987	173	 	6038.376
90577063	194	5869.7605	5446.6841
90577065	194	9117.8599	7091.969
90577119	195	 	10945.4422
90577161	194	5869.7605	5446.6841
90577167	194	7658.2728	6948.0175
90577224	191	1811.2319	1643.2519
90577225	191	2099.4828	1948.1578
90577227	191	1026.6911	959.8773
90577229	191	1309.959	1268.8091
90577256	192	4439.7829	4028.0218
90577259	192	 	4068.9438
90577267	194	5918.8496	5365.8213
90577322	191	1811.2319	1643.2519
90577326	191	 	1268.8091
90577411	195	 	6432.3805
90577516	195	 	6171.5188
90577618	195	4514.7435	4092.908
90577712	195	 	5625.6699
90577782	193	5070.9128	4600.6184
90577817	195	6468.1675	6226.5785
90577852	192	4222.8531	3855.5616
90577920	191	 	2278.9476
90577928	191	3345.7948	3070.491
90577929	191	621.8935	573.9757
90577964	194	5869.7605	5446.6841
90578004	156	1473.211	1313.7264
90578025	151	6893.774	6396.8896
90578044	159	5501.779	5023.2502
90578076	160	18458.147	16746.2733
90578105	156	 	4025.7056
90578112	155	1485.921	1347.0838
90578198	158	4187.286	3798.9423
90578203	156	5204.1883	4717.9345
90578217	155	4970.9517	4625.5256
90578260	154	 	3044.2771
90578288	153	 	4769.8439
90578302	156	5204.1883	4717.9345
90578304	156	1688.3191	1531.4069
90578380	153	 	4769.8439
90578404	156	5017.6716	4474.4761
90578461	154	3818.9863	3543.7241
90578487	153	1475.7325	1315.9749
90578496	158	 	3729.237
90578500	156	5029.5083	4494.697
90578505	156	1688.3191	1531.4069
90578576	160	16101.6272	14941.0658
90578587	153	1080.7927	1004.1053
90578618	155	4272.2647	3876.0398
90578620	151	7564.7507	7249.4673
90578661	154	3564.0732	3311.1853
90578787	153	5290.2256	4717.5243
90578805	156	7127.6626	5543.9722
90578806	156	1473.211	1313.7264
90578813	155	 	4456.5722
90578846	159	6257.786	5822.9391
90578873	160	18378.0949	17101.0208
90578880	153	4131.1776	3745.1807
90578923	151	789.2842	733.2807
90578927	151	7564.7507	7249.4673
90578981	153	4877.8218	4724.5943
90578985	153	 	1705.6888
90578986	153	 	1006.2359
90578999	158	4187.286	3798.9423
90579230	107	6807.6071	6174.9088
90579233	107	4487.984	4068.6488
90579270	110	8144.6244	7557.5821
90579271	110	9400.1727	9008.3927
90579272	110	9400.1727	9008.3927
90579296	108	4177.4306	4003.3238
90579944	109	 	3292.1863
90579959	102	11055.2421	10594.4822
90579960	104	2948.2983	2743.4242
90579966	104	2974.5122	2715.7978
90579967	104	3082.5001	2799.4706
90579973	110	 	11025.1132
90579985	103	6384.1487	5858.8383
