AID	CLUSTER2	GSW5	GSW12345	GSW1345	GSW145
57101310	108	643.250366211	3734.809326172	826.202331543	665.894470215
57111071	185	949.4240112305	1556.134643555	1754.536376954	1056.805175783
57111786	154	1306.7980957032	 	 	 
57113943	167	777.3428344727	1398.065307618	1411.631103516	869.813598633
57117997	278	79.9877243042	 	 	 
57118381	294	1389.824584961	3514.138183594	1935.842041016	1830.551147461
57118943	187	435.5102539063	1616.371215821	952.952819825	941.466369629
57121404	187	752.6239013672	1568.773681641	947.304199219	822.124511719
57121476	286	457.8000793458	1188.558837891	1113.734863282	798.429138184
57123494	141	373.6043701172	 	 	 
57129567	228	254.6629333497	506.359466553	338.262329102	325.224884033
57130633	254	2392.4729003907	 	 	 
57131909	108	1064.03125	1867.35534668	1594.390869141	1262.573608399
57133772	248	345.2205505372	173.535873413	207.946334839	156.085144043
57134457	240	557.2438354493	 	 	682.024047852
57134970	253	688.2440795899	672.518371583	809.359313965	549.741882324
57136630	179	342.5153808594	544.379943848	440.810913086	432.454040528
57139880	228	1143.9829101563	2494.093017579	1327.406616211	11032.420898438
57141051	172	411.5533752443	449.808197022	470.853393555	387.277618408
57141800	278	178.5062408448	 	220.18649292	175.784057617
57144659	165	832.3479614258	 	 	1322.846801758
57145151	129	189.5883483888	261.565093994	241.729598999	231.98147583
57146734	271	632.4957275391	1751.657226563	1442.735229493	1359.634887696
57154247	141	579.1329345704	 	 	 
57154249	141	295.7265930176	992.771728516	853.496704102	565.106506348
57157723	243	1847.783569336	 	3937.751464844	2850.619873047
57159779	278	78.6812667847	 	 	107.260383606
57159952	187	421.819519043	425.093963623	384.210021973	411.96762085
57160648	168	657.1369628907	1008.702636719	1114.375244141	1081.352416993
57163116	108	457.4848632813	 	 	620.105651856
57163657	250	1066.3576660157	 	 	1139.879028321
57164981	179	1536.9328613282	 	 	 
57165288	194	1083.3642578125	 	 	1404.039672852
57165348	187	4284.1831054688	 	 	 
57166019	210	3412.5590820313	 	 	3157.801513672
57166463	278	254.3746185303	415.120330811	355.755493164	334.555358887
57167951	114	1389.8293457032	1846.846679688	1771.137207032	1269.830932618
57177419	240	1228.4931640625	1761.891479493	1439.340576172	1523.974365235
57178110	108	976.4602661133	1417.486328125	1266.1171875	1052.875854493
57178982	287	176.4090576172	 	396.644927979	339.04006958
57179591	189	521.7872924805	813.050903321	580.744506836	619.182800293
57186150	187	697.671081543	1182.721923829	881.727294922	777.974670411
57186582	141	293.641204834	467.041015625	416.355895996	369.419647217
57188247	251	379.8106689454	 	 	534.679138184
57191909	108	304.1866149903	604.643737793	318.798309326	230.432144165
57192841	187	1637.1065673829	2537.664794922	2385.979492188	1986.794189454
57193349	142	347.4512023926	488.013977051	570.411193848	619.328491211
57196641	145	241.9028930665	1463.063354493	1063.50744629	736.724853516
57197327	168	1363.9899902344	 	 	1816.237182618
57199896	253	1095.6856689454	 	977.914428711	817.587524415
57200870	172	998.6057739258	 	1141.257080079	1397.011230469
57203993	172	529.2660522461	1165.132080079	907.922668458	532.746765137
57210612	178	39.2921791077	171.348678589	118.535377503	111.148040772
57211375	187	364.175567627	805.953613282	403.744018555	424.455749512
57212679	187	307.0830078125	 	547.899841309	498.603424073
57212861	267	453.1043395997	 	 	454.912902832
57213527	177	440.0389099122	885.572265625	915.772949219	745.794006348
57214806	165	468.2250061036	687.249450684	530.024291992	526.692138672
57217613	210	2963.5769042969	3938.209960938	3936.779785157	3377.767089844
57220133	168	1546.4527587891	 	1983.441528321	1597.005249024
57220955	187	288.4403686525	586.264282227	421.56906128	346.865905762
57228523	167	283.0304870606	1505.024291993	795.019592286	572.986328125
57229751	140	1196.1241455079	 	 	 
57230940	273	1065.7370605469	1253.251464844	955.091247559	827.535217286
57231300	187	602.5428466797	1190.958129883	908.878417969	732.144836426
57231320	187	344.556427002	 	 	580.61682129
57232895	145	767.1952514649	3109.40234375	1330.761108399	1125.06994629
57233403	174	792.9317626954	867.335754395	908.652648926	1017.92578125
57234514	108	429.5303649903	2632.352783204	858.088439942	700.293640137
57235039	115	346.4335632325	980.708435059	897.572570801	597.703552247
57239363	115	236.478881836	359.443389893	351.318237305	175.00328064
57239974	215	940.6760253907	2108.194580079	1731.86315918	1354.897216797
57241075	109	231.3638000489	281.634460449	282.78390503	266.738311768
57241170	253	402.1879577637	 	 	504.215393067
57242812	120	1571.1110839844	2670.939697266	2361.928222657	2090.249267579
57242885	108	294.0285339356	453.722045899	382.040527344	347.709655762
57244606	167	1151.2883300782	 	 	 
57245293	240	1241.0142822266	2124.351074219	1686.414794922	1490.827270508
57245315	123	483.2311401368	 	600.928955079	606.242004395
57245379	150	622.3888549805	928.209838868	649.765869141	562.024658204
57245533	154	1223.9742431641	 	 	 
57248884	115	567.5486450196	892.822692872	765.735900879	768.778747559
57249576	115	635.8298950196	957.315185547	870.896850586	894.171203614
57251197	278	45.477760315	79.820281982	79.849952698	64.375587463
57256290	174	786.4725952149	1769.579345704	1361.329345704	1321.289794922
57258682	240	937.716369629	 	 	1018.828552247
57260813	218	1451.953491211	 	 	 
57262270	109	532.1169433594	766.700744629	950.87487793	681.559997559
57263513	159	87.09765625	158.49194336	118.403190613	86.806083679
57265490	187	290.7972717286	383.714477539	258.908966065	305.095855713
57272130	176	313.8454284668	 	 	562.51928711
57272274	140	363.8222961426	813.103027344	538.588989258	488.395660401
57275298	220	727.2497558594	1463.933715821	1355.592041016	1136.69897461
57277289	129	839.0021362305	1511.878051758	1404.888916016	1140.694702149
57277290	129	222.6702270508	298.713470459	275.954437256	239.03163147
57279640	240	1911.9611816407	3462.521728516	2262.471435547	2102.015625
88122937	273	1934.3380126954	2445.710449219	2000.723144532	1735.528564454
88143447	175	1302.1911621094	 	 	 
88149345	111	295.916595459	679.225280762	607.816223145	481.60848999
88178056	111	2087.3840332032	 	 	 
88191219	141	505.4546203614	1634.227050782	810.016052247	823.833068848
88191364	141	436.093322754	 	732.153259278	726.943420411
88202138	121	1174.6217041016	1801.853881836	1817.07019043	1316.692993165
88249047	120	688.749572754	1548.366210938	839.132385254	736.21258545
88251811	175	372.7388305665	761.548706055	485.523712158	369.299072266
88268811	168	3463.4782714844	 	5344.168457032	3523.329589844
90316053	472	1045.146484375	1090.159301759	1120.807861329	1124.62072754
90316656	472	534.6572265625	689.112731934	683.975891114	631.5234375
90500059	142	613.0237426758	3062.715087891	1092.778442384	837.333862305
90500459	142	52.8453826905	62.285049439	44.561702728	52.718929291
90500516	145	976.0721435547	 	1183.220703125	901.156860352
90500638	147	921.1199340821	3573.946044922	1526.460205079	1327.252075196
90500914	145	1031.5390625	 	1211.063720704	1139.204833985
90500974	150	696.745300293	1331.418212891	1108.595336915	1121.815429688
90501955	132	3038.78515625	3487.3671875	3295.713134766	2751.423339844
90503807	186	1391.3947753907	1672.528564454	1393.880981446	1035.447753908
90504005	166	144.6296997071	 	 	159.644119263
90504220	161	1483.1569824219	1509.506591797	1184.917236329	1073.638061524
90504248	169	638.6647338868	 	1389.578979493	1070.965820313
90504280	163	1144.6473388672	 	 	1546.349853516
90504500	166	74.0387573243	100.758964539	77.872627258	78.363113403
90504603	166	132.5492553711	178.042953491	152.384109497	134.214797974
90506040	179	383.6033630372	2380.135986329	864.140747071	612.014282227
90506094	178	10.2945623398	17.874120712	13.745758057	13.074010849
90506203	176	504.1448669434	1586.184692383	543.903198242	525.056884766
90506236	177	922.7216186524	1175.036499024	1076.805297852	1055.952392579
90506268	174	1127.5144042969	1779.470703125	1792.817382813	1220.573242188
90506372	180	620.2953491211	 	886.193542481	622.236877442
90506428	171	153.5044555666	408.795532227	507.482116699	494.076782227
90506725	171	350.1868896486	1606.868652344	859.993164063	675.29272461
90506828	171	996.0031738282	1949.686035157	1626.16381836	1215.425292969
90506849	179	131.7371673584	114.098075867	123.052581787	102.462402344
90506987	173	307.8175048829	 	 	373.867431641
90507350	192	726.1278076172	1455.06213379	884.43133545	959.813781739
90507957	192	1485.0297851563	1492.871948243	1630.33178711	1481.465820313
90508033	157	434.3848571778	 	1065.62060547	836.213134766
90508165	154	352.0101013184	1086.489624024	575.377197266	726.48236084
90508325	151	133.8266906739	 	 	108.984306336
90508577	160	2578.7377929688	2407.373291016	2159.731689454	2268.90209961
90508671	160	3707.9084472657	 	 	 
90508969	154	600.884765625	 	 	745.985961915
90540850	142	624.5250854493	 	 	700.205810547
90543102	186	664.0221557618	 	1103.914916993	1079.180664063
90543104	186	884.3962402344	1094.873535158	1062.10534668	1063.478637697
90544989	163	515.2728881836	 	 	389.924163819
90546223	171	897.7426757813	1902.473754883	1720.411743165	1508.329101563
90548078	160	2542.9567871094	4801.478515625	4062.4375	3245.73803711
90570180	143	77.8341598511	 	 	115.794670105
90570184	143	1434.5744628907	 	1902.639648438	1766.938110352
90570190	148	336.9269104004	773.22253418	519.851501465	484.963684082
90570220	141	465.2507324219	 	 	514.382385254
